,Grouped Route IDs,Route ID,From ID,From - Common Name,From - Longitude,From - Latitude,To ID,To - Common Name,To - Longitude,To - Latitude
85,rsf_0001,rl_0001_32,450025906,Castleford Lane Pontefract Rd,-1.273636,53.712396,450013437,Pontefract Road Windsor Drive,-1.276642,53.711136
86,rsf_0001,rl_0001_33,450013437,Pontefract Road Windsor Drive,-1.276642,53.711136,450026146,Wordsworth Drive Byron Close,-1.277968,53.709778
87,rsf_0001,rl_0001_34,450026146,Wordsworth Drive Byron Close,-1.277968,53.709778,450026613,Arncliffe Drive Mill View,-1.276699,53.707766
88,rsf_0001,rl_0001_35,450026613,Arncliffe Drive Mill View,-1.276699,53.707766,450028596,Arncliffe Drive Sandringham Avenue,-1.274365,53.708722
89,rsf_0001,rl_0001_36,450028596,Arncliffe Drive Sandringham Avenue,-1.274365,53.708722,450026615,Arncliffe Drive St Andrews Drive,-1.272004,53.711207
90,rsf_0001,rl_0001_37,450026615,Arncliffe Drive St Andrews Drive,-1.272004,53.711207,450021203,The Square,-1.267631,53.713555
91,rsf_0001,rl_0001_38,450021203,The Square,-1.267631,53.713555,450025904,Fishergate Pinders Garth,-1.264881,53.711390
92,rsf_0001,rl_0001_39,450025904,Fishergate Pinders Garth,-1.264881,53.711390,450022299,Fishergate Vale Crescent,-1.263155,53.710409
93,rsf_0001,rl_0001_40,450022299,Fishergate Vale Crescent,-1.263155,53.710409,450022297,Knottingley Hill Top,-1.257992,53.708534
94,rsf_0001,rl_0001_41,450022297,Knottingley Hill Top,-1.257992,53.708534,450014343,Headlands Lane Hill Top,-1.256423,53.707257
95,rsf_0001,rl_0001_42,450014343,Headlands Lane Hill Top,-1.256423,53.707257,450014320,Hazel Road Spawd Bone Lane,-1.255606,53.704655
96,rsf_0001,rl_0001_43,450014320,Hazel Road Spawd Bone Lane,-1.255606,53.704655,450014323,Hazel Road Pinewood Place,-1.258139,53.702765
97,rsf_0001,rl_0001_44,450014323,Hazel Road Pinewood Place,-1.258139,53.702765,450014324,Hazel Road Hawthorn Avenue,-1.258145,53.701560
98,rsf_0001,rl_0001_45,450014324,Hazel Road Hawthorn Avenue,-1.258145,53.701560,450014326,Hazel Road Sycamore Avenue,-1.256056,53.699741
99,rsf_0001,rl_0001_46,450014326,Hazel Road Sycamore Avenue,-1.256056,53.699741,450014328,Hazel Road Bassenthwaite Walk,-1.253623,53.698584
100,rsf_0001,rl_0001_47,450014328,Hazel Road Bassenthwaite Walk,-1.253623,53.698584,450014329,Windermere Drive Loweswater Road,-1.253094,53.696774
