,Grouped Route IDs,Route ID,From ID,From - Common Name,From - Longitude,From - Latitude,To ID,To - Common Name,To - Longitude,To - Latitude
0,rsf_0000,rl_0000_1,450018213,F4 Station Lane Fearnley Street,-1.359054,53.675743,450018215,Station Lane Featherstone Station,-1.358529,53.678437
2,rsf_0000,rl_0000_2,450018215,Station Lane Featherstone Station,-1.358529,53.678437,450018218,Station Lane Cedar Walk,-1.358892,53.680443
4,rsf_0000,rl_0000_3,450018218,Station Lane Cedar Walk,-1.358892,53.680443,450018219,Green Lane Market Street,-1.357645,53.681776
6,rsf_0000,rl_0000_4,450018219,Green Lane Market Street,-1.357645,53.681776,450018222,Featherstone Lane Dickinson Terrace,-1.353656,53.683256
8,rsf_0000,rl_0000_5,450018222,Featherstone Lane Dickinson Terrace,-1.353656,53.683256,450018224,Featherstone Lane Dixon Street,-1.354094,53.685325
10,rsf_0000,rl_0000_6,450018224,Featherstone Lane Dixon Street,-1.354094,53.685325,450018226,Featherstone Lane Halton Street,-1.354581,53.687117
12,rsf_0000,rl_0000_7,450018226,Featherstone Lane Halton Street,-1.354581,53.687117,450018228,Featherstone Lane Highfield Close,-1.357178,53.690627
14,rsf_0000,rl_0000_8,450018228,Featherstone Lane Highfield Close,-1.357178,53.690627,450018229,Willow Lane Willow Garth,-1.358874,53.693611
16,rsf_0000,rl_0000_9,450018229,Willow Lane Willow Garth,-1.358874,53.693611,450018230,Cutsyke Road Church Lane,-1.361248,53.695844
18,rsf_0000,rl_0000_10,450018230,Cutsyke Road Church Lane,-1.361248,53.695844,450026333,Cutsyke Road Cemetery,-1.363746,53.697925
20,rsf_0000,rl_0000_11,450026333,Cutsyke Road Cemetery,-1.363746,53.697925,450018234,Cutsyke Road Castleford Lane,-1.368003,53.706953
22,rsf_0000,rl_0000_12,450018234,Cutsyke Road Castleford Lane,-1.368003,53.706953,450029629,Cutsyke Road Blenheim Way,-1.367495,53.710537
24,rsf_0000,rl_0000_13,450029629,Cutsyke Road Blenheim Way,-1.367495,53.710537,450018236,Aketon Road WMC,-1.365554,53.713646
26,rsf_0000,rl_0000_14,450018236,Aketon Road WMC,-1.365554,53.713646,450014636,Leeds Road Old School Ct,-1.360571,53.714509
28,rsf_0000,rl_0000_15,450014636,Leeds Road Old School Ct,-1.360571,53.714509,450014637,Leeds Road Barnes Road,-1.356178,53.714494
30,rsf_0000,rl_0000_16,450014637,Leeds Road Barnes Road,-1.356178,53.714494,450014638,Leeds Road Thunderhead Ridge,-1.352126,53.713906
32,rsf_0000,rl_0000_17,450014638,Leeds Road Thunderhead Ridge,-1.352126,53.713906,450014639,Leeds Road Joffre Avenue,-1.348374,53.715477
34,rsf_0000,rl_0000_18,450014639,Leeds Road Joffre Avenue,-1.348374,53.715477,450014645,Lisheen Avenue Larch Court,-1.347431,53.716703
36,rsf_0000,rl_0000_19,450014645,Lisheen Avenue Larch Court,-1.347431,53.716703,450014647,Lisheen Avenue Thornhill Road,-1.348792,53.718814
38,rsf_0000,rl_0000_20,450014647,Lisheen Avenue Thornhill Road,-1.348792,53.718814,450014648,Lisheen Avenue Blands Close,-1.348760,53.719964
40,rsf_0000,rl_0000_21,450014648,Lisheen Avenue Blands Close,-1.348760,53.719964,450050203,Lisheen Avenue,-1.348403,53.721472
42,rsf_0000,rl_0000_22,450050203,Lisheen Avenue,-1.348403,53.721472,450014651,Smawthorne Lane Lisheen Avenue,-1.349320,53.721945
44,rsf_0000,rl_0000_23,450014651,Smawthorne Lane Lisheen Avenue,-1.349320,53.721945,450050205,Smawthorne Lane Smawthorne Avenue,-1.352910,53.721092
46,rsf_0000,rl_0000_24,450050205,Smawthorne Lane Smawthorne Avenue,-1.352910,53.721092,450014653,Beancroft Road Hugh Street,-1.355670,53.721943
48,rsf_0000,rl_0000_25,450014653,Beancroft Road Hugh Street,-1.355670,53.721943,450023668,Beancroft Road Cambridge Street,-1.355751,53.723552
50,rsf_0000,rl_0000_26,450023668,Beancroft Road Cambridge Street,-1.355751,53.723552,450018668,S1 Station Road,-1.353494,53.725446
52,rsf_0000,rl_0000_27,450018668,S1 Station Road,-1.353494,53.725446,450030341,Castleford Bus Station K,-1.357687,53.724803
54,rsf_0001,rl_0001_1,450030267,Stand J Pontefract Bus Station,-1.308757,53.692919,450018267,Southgate General Hospital,-1.309533,53.690829
55,rsf_0001,rl_0001_2,450018267,Southgate General Hospital,-1.309533,53.690829,450018270,Southgate Jubilee Way,-1.312844,53.689329
56,rsf_0001,rl_0001_3,450018270,Southgate Jubilee Way,-1.312844,53.689329,450018273,Wakefield Road Beechwood Avenue,-1.320399,53.687485
57,rsf_0001,rl_0001_4,450018273,Wakefield Road Beechwood Avenue,-1.320399,53.687485,450018276,Wakefield Road Kings Mead,-1.322914,53.686447
58,rsf_0001,rl_0001_5,450018276,Wakefield Road Kings Mead,-1.322914,53.686447,450018277,Wakefield Road Queens Avenue,-1.325554,53.685186
59,rsf_0001,rl_0001_6,450018277,Wakefield Road Queens Avenue,-1.325554,53.685186,450018390,Wakefield Road Osgoldcross Crematorium,-1.332988,53.681363
60,rsf_0001,rl_0001_7,450018390,Wakefield Road Osgoldcross Crematorium,-1.332988,53.681363,450018391,Pontefract Road Purston Jaglin,-1.337371,53.679005
61,rsf_0001,rl_0001_8,450018391,Pontefract Road Purston Jaglin,-1.337371,53.679005,450018393,Pontefract Road Houndhill Lane,-1.341057,53.676617
62,rsf_0001,rl_0001_9,450018393,Pontefract Road Houndhill Lane,-1.341057,53.676617,450018394,Pontefract Road Sports Centre,-1.345145,53.674608
63,rsf_0001,rl_0001_10,450018394,Pontefract Road Sports Centre,-1.345145,53.674608,450018208,Little Lane Tarn Road,-1.347071,53.673396
