,Grouped Route IDs,Route ID,From ID,From - Common Name,From - Longitude,From - Latitude,To ID,To - Common Name,To - Longitude,To - Latitude
0,rsf_0000,rl_0000_1,450018213,F4 Station Lane Fearnley Street,-1.359054,53.675743,450018215,Station Lane Featherstone Station,-1.358529,53.678437
2,rsf_0000,rl_0000_2,450018215,Station Lane Featherstone Station,-1.358529,53.678437,450018218,Station Lane Cedar Walk,-1.358892,53.680443
4,rsf_0000,rl_0000_3,450018218,Station Lane Cedar Walk,-1.358892,53.680443,450018219,Green Lane Market Street,-1.357645,53.681776
6,rsf_0000,rl_0000_4,450018219,Green Lane Market Street,-1.357645,53.681776,450018222,Featherstone Lane Dickinson Terrace,-1.353656,53.683256
8,rsf_0000,rl_0000_5,450018222,Featherstone Lane Dickinson Terrace,-1.353656,53.683256,450018224,Featherstone Lane Dixon Street,-1.354094,53.685325
10,rsf_0000,rl_0000_6,450018224,Featherstone Lane Dixon Street,-1.354094,53.685325,450018226,Featherstone Lane Halton Street,-1.354581,53.687117
12,rsf_0000,rl_0000_7,450018226,Featherstone Lane Halton Street,-1.354581,53.687117,450018228,Featherstone Lane Highfield Close,-1.357178,53.690627
14,rsf_0000,rl_0000_8,450018228,Featherstone Lane Highfield Close,-1.357178,53.690627,450027288,Ackton Lane Waldenhowe Close,-1.359522,53.692824
17,rsf_0000,rl_0000_9,450027288,Ackton Lane Waldenhowe Close,-1.359522,53.692824,450018298,Ackton Lane Fairfax Avenue,-1.363227,53.693140
20,rsf_0000,rl_0000_10,450018298,Ackton Lane Fairfax Avenue,-1.363227,53.693140,450018300,Ackton Lane Ackton Close,-1.375671,53.692451
23,rsf_0000,rl_0000_11,450018300,Ackton Lane Ackton Close,-1.375671,53.692451,450017777,Ackton Hall Crescent Warren Drive,-1.376614,53.690109
26,rsf_0000,rl_0000_12,450017777,Ackton Hall Crescent Warren Drive,-1.376614,53.690109,450017775,West End Ave Throstle Crest,-1.377373,53.691039
29,rsf_0000,rl_0000_13,450017775,West End Ave Throstle Crest,-1.377373,53.691039,450018299,Ackton Lane Ackton Close,-1.375306,53.692538
32,rsf_0000,rl_0000_14,450018299,Ackton Lane Ackton Close,-1.375306,53.692538,450028934,Ackton Lane Fairfax Avenue,-1.363044,53.693274
35,rsf_0000,rl_0000_15,450028934,Ackton Lane Fairfax Avenue,-1.363044,53.693274,450018297,Ackton Lane Waldenhowe Close,-1.359823,53.692906
38,rsf_0000,rl_0000_16,450018297,Ackton Lane Waldenhowe Close,-1.359823,53.692906,450018229,Willow Lane Willow Garth,-1.358874,53.693611
41,rsf_0000,rl_0000_17,450018229,Willow Lane Willow Garth,-1.358874,53.693611,450018230,Cutsyke Road Church Lane,-1.361248,53.695844
43,rsf_0000,rl_0000_18,450018230,Cutsyke Road Church Lane,-1.361248,53.695844,450026333,Cutsyke Road Cemetery,-1.363746,53.697925
45,rsf_0000,rl_0000_19,450026333,Cutsyke Road Cemetery,-1.363746,53.697925,450018234,Cutsyke Road Castleford Lane,-1.368003,53.706953
47,rsf_0000,rl_0000_20,450018234,Cutsyke Road Castleford Lane,-1.368003,53.706953,450029629,Cutsyke Road Blenheim Way,-1.367495,53.710537
49,rsf_0000,rl_0000_21,450029629,Cutsyke Road Blenheim Way,-1.367495,53.710537,450018236,Aketon Road WMC,-1.365554,53.713646
51,rsf_0000,rl_0000_22,450018236,Aketon Road WMC,-1.365554,53.713646,450014636,Leeds Road Old School Ct,-1.360571,53.714509
53,rsf_0000,rl_0000_23,450014636,Leeds Road Old School Ct,-1.360571,53.714509,450014637,Leeds Road Barnes Road,-1.356178,53.714494
55,rsf_0000,rl_0000_24,450014637,Leeds Road Barnes Road,-1.356178,53.714494,450014656,Barnes Road Leeds Road,-1.354332,53.715284
57,rsf_0000,rl_0000_25,450014656,Barnes Road Leeds Road,-1.354332,53.715284,450023361,Falcon Dr Teal Close,-1.356306,53.716032
59,rsf_0000,rl_0000_26,450023361,Falcon Dr Teal Close,-1.356306,53.716032,450023359,Falcon Drive Gannett Close,-1.358163,53.716429
61,rsf_0000,rl_0000_27,450023359,Falcon Drive Gannett Close,-1.358163,53.716429,450028119,Falcon Drive Fulmar Road,-1.358979,53.717574
63,rsf_0000,rl_0000_28,450028119,Falcon Drive Fulmar Road,-1.358979,53.717574,450023357,John Street Beancroft Street,-1.359383,53.718961
65,rsf_0000,rl_0000_29,450023357,John Street Beancroft Street,-1.359383,53.718961,450051264,Beancroft Street,-1.356157,53.719797
67,rsf_0000,rl_0000_30,450051264,Beancroft Street,-1.356157,53.719797,450014653,Beancroft Road Hugh Street,-1.355670,53.721943
69,rsf_0000,rl_0000_31,450014653,Beancroft Road Hugh Street,-1.355670,53.721943,450023668,Beancroft Road Cambridge Street,-1.355751,53.723552
71,rsf_0000,rl_0000_32,450023668,Beancroft Road Cambridge Street,-1.355751,53.723552,450018668,S1 Station Road,-1.353494,53.725446
73,rsf_0000,rl_0000_33,450018668,S1 Station Road,-1.353494,53.725446,450030332,Castleford Bus Station A,-1.357399,53.724837
75,rsf_0001,rl_0001_1,450030267,Stand J Pontefract Bus Station,-1.308757,53.692919,450018305,Stuart Road Finkle Street,-1.311911,53.692677
77,rsf_0001,rl_0001_2,450018305,Stuart Road Finkle Street,-1.311911,53.692677,450018302,Stuart Road Newport Street,-1.316987,53.693452
79,rsf_0001,rl_0001_3,450018302,Stuart Road Newport Street,-1.316987,53.693452,450018361,Halfpenny Lane Camp Mount,-1.319059,53.691747
81,rsf_0001,rl_0001_4,450018361,Halfpenny Lane Camp Mount,-1.319059,53.691747,450018362,Halfpenny Lane Ryder Close,-1.323129,53.690080
