,Grouped Route IDs,Route ID,From ID,From - Common Name,From - Longitude,From - Latitude,To ID,To - Common Name,To - Longitude,To - Latitude
0,rsf_0000,rl_0000_1,450018214,F3 Station Lane Crossley Street,-1.358644,53.676820,450017712,Wakefield Road F2 St Martins Close,-1.361566,53.674831
3,rsf_0000,rl_0000_2,450017712,Wakefield Road F2 St Martins Close,-1.361566,53.674831,450017714,Wakefield Road Lister Road,-1.364998,53.675110
6,rsf_0000,rl_0000_3,450017714,Wakefield Road Lister Road,-1.364998,53.675110,450017722,Wentworth Road Hillcrest Avenue,-1.370239,53.674850
9,rsf_0000,rl_0000_4,450017722,Wentworth Road Hillcrest Avenue,-1.370239,53.674850,450017720,Wentworth Road Southfield Avenue,-1.370896,53.673478
12,rsf_0000,rl_0000_5,450017720,Wentworth Road Southfield Avenue,-1.370896,53.673478,450023759,Wentworth Road Priordale Road,-1.370528,53.672766
15,rsf_0000,rl_0000_6,450023759,Wentworth Road Priordale Road,-1.370528,53.672766,450029064,Priory Road Huntwick Drive,-1.367577,53.672715
18,rsf_0000,rl_0000_7,450029064,Priory Road Huntwick Drive,-1.367577,53.672715,450017716,Priory Road Hardwick Road,-1.363935,53.673298
21,rsf_0000,rl_0000_8,450017716,Priory Road Hardwick Road,-1.363935,53.673298,450017715,Priory Road Girnhill Lane,-1.360723,53.673505
24,rsf_0000,rl_0000_9,450017715,Priory Road Girnhill Lane,-1.360723,53.673505,450017711,F5 Pontefract Road Brookway,-1.357317,53.674530
27,rsf_0000,rl_0000_10,450017711,F5 Pontefract Road Brookway,-1.357317,53.674530,450018398,Pontefract Road Hall Street,-1.351676,53.674176
29,rsf_0000,rl_0000_11,450018398,Pontefract Road Hall Street,-1.351676,53.674176,450018205,Wentbridge Road Wellgarth Rd,-1.348583,53.671552
31,rsf_0000,rl_0000_12,450018205,Wentbridge Road Wellgarth Rd,-1.348583,53.671552,450018207,Wentbridge Road Little Lane,-1.345527,53.672417
33,rsf_0000,rl_0000_13,450018207,Wentbridge Road Little Lane,-1.345527,53.672417,450018209,Little Lane Tarn Road,-1.347463,53.673479
35,rsf_0000,rl_0000_14,450018209,Little Lane Tarn Road,-1.347463,53.673479,450018395,Pontefract Road Purston Sports Centre,-1.345537,53.674682
37,rsf_0000,rl_0000_15,450018395,Pontefract Road Purston Sports Centre,-1.345537,53.674682,450018392,Pontefract Road Houndhill Lane,-1.340322,53.677134
39,rsf_0000,rl_0000_16,450018392,Pontefract Road Houndhill Lane,-1.340322,53.677134,450025260,Pontefract Road Monkroyd Cottage,-1.337550,53.679168
41,rsf_0000,rl_0000_17,450025260,Pontefract Road Monkroyd Cottage,-1.337550,53.679168,450023834,Wakefield Road Osgoldcross Crematorium,-1.332177,53.681960
43,rsf_0000,rl_0000_18,450023834,Wakefield Road Osgoldcross Crematorium,-1.332177,53.681960,450018278,Wakefield Road Queens Avenue,-1.325827,53.685188
45,rsf_0000,rl_0000_19,450018278,Wakefield Road Queens Avenue,-1.325827,53.685188,450018275,Wakefield Road Drivers Row,-1.323263,53.686414
47,rsf_0000,rl_0000_20,450018275,Wakefield Road Drivers Row,-1.323263,53.686414,450018274,Wakefield Road Beechwood Crescent,-1.321388,53.687185
49,rsf_0000,rl_0000_21,450018274,Wakefield Road Beechwood Crescent,-1.321388,53.687185,450018272,Wakefield Road Banks Avenue,-1.318390,53.688130
51,rsf_0000,rl_0000_22,450018272,Wakefield Road Banks Avenue,-1.318390,53.688130,450018271,Southgate Jubilee Way,-1.312902,53.689491
53,rsf_0000,rl_0000_23,450018271,Southgate Jubilee Way,-1.312902,53.689491,450018268,Southgate General Hospital,-1.309820,53.690903
55,rsf_0000,rl_0000_24,450018268,Southgate General Hospital,-1.309820,53.690903,450030267,Stand J Pontefract Bus Station,-1.308757,53.692919
57,rsf_0001,rl_0001_1,450030332,Castleford Bus Station A,-1.357399,53.724837,450018667,S2 Station Road,-1.353178,53.725345
59,rsf_0001,rl_0001_2,450018667,S2 Station Road,-1.353178,53.725345,450018682,Lower Oxford Street Beancroft Road,-1.355184,53.723010
61,rsf_0001,rl_0001_3,450018682,Lower Oxford Street Beancroft Road,-1.355184,53.723010,450014654,Beancroft Road Hugh Street,-1.355550,53.721879
63,rsf_0001,rl_0001_4,450014654,Beancroft Road Hugh Street,-1.355550,53.721879,450014652,Smawthorne Lane Smawthorne Avenue,-1.352938,53.721191
65,rsf_0001,rl_0001_5,450014652,Smawthorne Lane Smawthorne Avenue,-1.352938,53.721191,450050204,Smawthorne Lane Lisheen Avenue,-1.349409,53.722053
67,rsf_0001,rl_0001_6,450050204,Smawthorne Lane Lisheen Avenue,-1.349409,53.722053,450014650,Lisheen Avenue Parklands,-1.348312,53.721490
69,rsf_0001,rl_0001_7,450014650,Lisheen Avenue Parklands,-1.348312,53.721490,450014649,Lisheen Avenue Blands Close,-1.348712,53.720126
71,rsf_0001,rl_0001_8,450014649,Lisheen Avenue Blands Close,-1.348712,53.720126,450014646,Lisheen Avenue Willow Road,-1.348362,53.718218
73,rsf_0001,rl_0001_9,450014646,Lisheen Avenue Willow Road,-1.348362,53.718218,450014644,Lisheen Avenue Leeds Road,-1.347011,53.716404
75,rsf_0001,rl_0001_10,450014644,Lisheen Avenue Leeds Road,-1.347011,53.716404,450014640,Leeds Road Joffre Avenue,-1.348331,53.715360
77,rsf_0001,rl_0001_11,450014640,Leeds Road Joffre Avenue,-1.348331,53.715360,450025743,Leeds Road Thunderhead Ridge,-1.351686,53.713922
79,rsf_0001,rl_0001_12,450025743,Leeds Road Thunderhead Ridge,-1.351686,53.713922,450025739,Leeds Road Barnes Road,-1.356148,53.714422
81,rsf_0001,rl_0001_13,450025739,Leeds Road Barnes Road,-1.356148,53.714422,450025240,Leeds Road Old School Court,-1.360119,53.714390
83,rsf_0001,rl_0001_14,450025240,Leeds Road Old School Court,-1.360119,53.714390,450014635,Leeds Road Granville Street,-1.362874,53.714521
85,rsf_0001,rl_0001_15,450014635,Leeds Road Granville Street,-1.362874,53.714521,450018235,Aketon Road WMC,-1.366076,53.713190
87,rsf_0001,rl_0001_16,450018235,Aketon Road WMC,-1.366076,53.713190,450029628,Cutsyke Road Blenheim Way,-1.367467,53.709332
89,rsf_0001,rl_0001_17,450029628,Cutsyke Road Blenheim Way,-1.367467,53.709332,450050590,Cutsyke Road Castleford Lane,-1.367837,53.706943
91,rsf_0001,rl_0001_18,450050590,Cutsyke Road Castleford Lane,-1.367837,53.706943,450018233,Cutsyke Road Cemetery,-1.363355,53.697752
93,rsf_0001,rl_0001_19,450018233,Cutsyke Road Cemetery,-1.363355,53.697752,450018231,Willow Lane Church Lane,-1.361125,53.695960
95,rsf_0001,rl_0001_20,450018231,Willow Lane Church Lane,-1.361125,53.695960,450018227,Featherstone Lane Highfield Close,-1.356833,53.690364
97,rsf_0001,rl_0001_21,450018227,Featherstone Lane Highfield Close,-1.356833,53.690364,450018225,Featherstone Lane Carlton Street,-1.354283,53.686818
99,rsf_0001,rl_0001_22,450018225,Featherstone Lane Carlton Street,-1.354283,53.686818,450023711,Featherstone Lane Gordon Street,-1.353888,53.684929
101,rsf_0001,rl_0001_23,450023711,Featherstone Lane Gordon Street,-1.353888,53.684929,450018221,Green Lane Jardine Avenue,-1.354093,53.682413
103,rsf_0001,rl_0001_24,450018221,Green Lane Jardine Avenue,-1.354093,53.682413,450018220,Green Lane Market Street,-1.357647,53.681641
105,rsf_0001,rl_0001_25,450018220,Green Lane Market Street,-1.357647,53.681641,450018217,Station Lane Cedar Walk,-1.358625,53.680109
107,rsf_0001,rl_0001_26,450018217,Station Lane Cedar Walk,-1.358625,53.680109,450018216,Station Lane Featherstone Station,-1.358347,53.678436
109,rsf_0001,rl_0001_27,450018216,Station Lane Featherstone Station,-1.358347,53.678436,450018214,F3 Station Lane Crossley Street,-1.358644,53.676820
1,rsf_0001,rl_0001_28,450018214,F3 Station Lane Crossley Street,-1.358644,53.676820,450017712,Wakefield Road F2 St Martins Close,-1.361566,53.674831
4,rsf_0001,rl_0001_29,450017712,Wakefield Road F2 St Martins Close,-1.361566,53.674831,450017714,Wakefield Road Lister Road,-1.364998,53.675110
7,rsf_0001,rl_0001_30,450017714,Wakefield Road Lister Road,-1.364998,53.675110,450017722,Wentworth Road Hillcrest Avenue,-1.370239,53.674850
10,rsf_0001,rl_0001_31,450017722,Wentworth Road Hillcrest Avenue,-1.370239,53.674850,450017720,Wentworth Road Southfield Avenue,-1.370896,53.673478
13,rsf_0001,rl_0001_32,450017720,Wentworth Road Southfield Avenue,-1.370896,53.673478,450023759,Wentworth Road Priordale Road,-1.370528,53.672766
16,rsf_0001,rl_0001_33,450023759,Wentworth Road Priordale Road,-1.370528,53.672766,450029064,Priory Road Huntwick Drive,-1.367577,53.672715
19,rsf_0001,rl_0001_34,450029064,Priory Road Huntwick Drive,-1.367577,53.672715,450017716,Priory Road Hardwick Road,-1.363935,53.673298
22,rsf_0001,rl_0001_35,450017716,Priory Road Hardwick Road,-1.363935,53.673298,450017715,Priory Road Girnhill Lane,-1.360723,53.673505
25,rsf_0001,rl_0001_36,450017715,Priory Road Girnhill Lane,-1.360723,53.673505,450017711,F5 Pontefract Road Brookway,-1.357317,53.674530
28,rsf_0001,rl_0001_37,450017711,F5 Pontefract Road Brookway,-1.357317,53.674530,450018398,Pontefract Road Hall Street,-1.351676,53.674176
30,rsf_0001,rl_0001_38,450018398,Pontefract Road Hall Street,-1.351676,53.674176,450018205,Wentbridge Road Wellgarth Rd,-1.348583,53.671552
